mri-1.8.7,mri-2.3.3,ruby+omr,rtl-mjit,jruby-1.7.27,jruby-9.1.13,truffleruby-0.30.2
0.327313319,0.334222055,0.315362083,0.312072095,2.111916679,2.584293118,5.053731615
0.315001232,0.35202166,0.323455024,0.313271364,2.1224598,2.646951806,5.285567086
0.333329622,0.336810569,0.3108337,0.310610197,2.016658127,2.403492241,5.444379956
0.328754939,0.341851897,0.32033968,0.308731113,1.981331195,2.502434506,5.554875981
0.32810083,0.336286809,0.310198008,0.316847847,2.041233213,2.57711339,5.442471691
0.341527641,0.333341518,0.312858425,0.312079352,2.007376033,2.512791344,5.450850734
0.331014438,0.337946368,0.308540004,0.30704391,1.996364344,2.644347029,5.388705553
0.329605118,0.331809385,0.320428684,0.305700655,2.087903347,2.449197049,5.517254121
0.333046504,0.339613388,0.319144611,0.323683084,2.057137076,2.584442716,5.031994496
0.337619141,0.346794088,0.310485619,0.313601165,1.991884217,2.516969067,5.382008962
0.326282276,0.323883325,0.308569142,0.312385525,2.146290525,2.507414748,5.554510512
0.336177727,0.335259183,0.309393945,0.317552034,2.039705623,2.4994068,5.570634476
0.344165091,0.330495009,0.320661764,0.311394369,1.993608586,2.559770028,5.524551426
0.32865931,0.348256681,0.310909354,0.309584841,1.986692776,2.524859656,5.329266086
0.332398792,0.344068724,0.319771483,0.304333727,2.019090633,2.49345978,5.484142914
0.330881203,0.32695984,0.301784171,0.320643454,2.172416617,2.620584556,5.432340414
0.34102733,0.333099112,0.305103474,0.318441826,1.984735039,2.565479026,5.338845513
0.336384792,0.331502787,0.302265806,0.315000679,2.102383602,2.609249757,5.110208199
0.3371039,0.335762893,0.304243498,0.31039745,1.998987801,2.514168803,5.103984226
0.328833602,0.326059857,0.309354443,0.322176657,2.143906816,2.499038638,5.343805598
0.329811052,0.34705131,0.309612005,0.314175472,2.111947802,2.463477569,5.270001562
0.330002248,0.328168623,0.312042593,0.310782057,1.974018759,2.549413142,5.605802694
0.334777644,0.341648255,0.309164813,0.303800622,2.211576182,2.653672642,5.455076495
0.328153783,0.34051905,0.305095613,0.311664453,2.117711271,2.502290892,5.39715359
0.335942008,0.339647146,0.306398094,0.310665399,2.11255878,2.521946566,5.59212331
0.330164381,0.333037757,0.304165667,0.308008849,2.081289165,2.585990816,5.441016582
0.316442664,0.336077957,0.313582821,0.315311303,2.090729446,2.686442744,5.249162447
0.32917652,0.341884578,0.301564233,0.309118934,2.085361231,2.527258865,5.29427815
0.341413777,0.338080061,0.31453926,0.314273435,2.033793492,2.454902046,5.201499764
0.342827848,0.334088913,0.298215853,0.296305082,2.0156257,2.477439888,5.473051119
0.338585677,0.333577374,0.309083417,0.316010072,2.158596842,2.517982797,5.554259143
0.321503769,0.336883584,0.316935498,0.304627235,2.034119166,2.617660694,5.077621167
0.330953731,0.334181883,0.318925273,0.30657348,2.007526092,2.510103039,5.670172206
0.343243242,0.338996703,0.297623876,0.330239255,1.979195435,2.575767265,5.271127142
0.342503904,0.331743842,0.303453867,0.311972353,2.068707091,2.494426031,5.629616624
0.330082934,0.332533447,0.310090026,0.312337697,2.089525049,2.508375768,5.485658834
0.32677468,0.342085936,0.315047444,0.316938873,2.076621815,2.49444714,5.009086571
0.325581283,0.336578948,0.311795806,0.300478411,2.097794665,2.386837079,5.72609656
0.342313259,0.340027958,0.320728962,0.318333734,2.002633051,2.561666449,5.499632256
0.327809402,0.338157889,0.305816371,0.316733136,2.077813994,2.525147261,5.195914902
0.339459187,0.338049449,0.319771898,0.307422884,1.967176367,2.498774451,5.021903897
0.324975386,0.349156569,0.313639506,0.302440744,2.054356851,2.738220565,5.59984044
0.305835822,0.328167999,0.31490642,0.315427415,2.00067249,2.525195833,5.366364319
0.331381817,0.347844826,0.316344964,0.315424545,1.977536076,2.535290079,5.244352894
0.320094766,0.33748901,0.306426116,0.321000526,2.077272704,2.622408347,5.221093078
0.330730077,0.335998614,0.310783044,0.303815197,2.052132933,2.543926332,5.295333852
0.337879071,0.338980968,0.305181689,0.307006526,1.95756571,2.517975169,5.274979154
0.323907783,0.323837488,0.310532641,0.317576609,2.065149175,2.469428711,5.309577973
